image_path,label,contrast_mean,contrast_std,dissimilarity_mean,dissimilarity_std,homogeneity_mean,homogeneity_std,energy_mean,energy_std,correlation_mean,correlation_std,ASM_mean,ASM_std
C:\Users\Fakhri\Downloads\klasifikasi_jenis_kain_glcm_knn\klasifikasi_jenis_kain_glcm_knn\dataset\Blended\blended_001.png,Blended,35.92288367885834,21.708229968173846,4.394590359017253,1.4921832522294765,0.22999257597864312,0.07219136418306818,0.045072813430589866,0.007280674233666815,0.7485091692762694,0.1519468296160762,0.002084566727845542,0.0006751553384566749
C:\Users\Fakhri\Downloads\klasifikasi_jenis_kain_glcm_knn\klasifikasi_jenis_kain_glcm_knn\dataset\Blended\blended_002.png,Blended,33.581680349789536,20.4645960672814,4.2149685226006195,1.432062843966156,0.23990606940806483,0.07429742721712955,0.04960088389150503,0.008072123104519676,0.7349575742124189,0.16142952656624804,0.002525406854233083,0.0008244736268345659
C:\Users\Fakhri\Downloads\klasifikasi_jenis_kain_glcm_knn\klasifikasi_jenis_kain_glcm_knn\dataset\Blended\blended_003.png,Blended,33.581680349789536,20.4645960672814,4.2149685226006195,1.432062843966156,0.23990606940806483,0.07429742721712955,0.04960088389150503,0.008072123104519676,0.7349575742124189,0.16142952656624804,0.002525406854233083,0.0008244736268345659
C:\Users\Fakhri\Downloads\klasifikasi_jenis_kain_glcm_knn\klasifikasi_jenis_kain_glcm_knn\dataset\Blended\blended_004.png,Blended,33.6828857535978,20.874746644905137,4.242685716897976,1.477788015847806,0.23938069486876964,0.07593935052367982,0.04613711931813622,0.007762748094073548,0.7789327899829415,0.1371027720364585,0.002188894036947982,0.0007366274962306666
C:\Users\Fakhri\Downloads\klasifikasi_jenis_kain_glcm_knn\klasifikasi_jenis_kain_glcm_knn\dataset\Blended\blended_005.png,Blended,31.282393219550016,20.848298201152048,4.0369205501232175,1.4941102600569418,0.25701247930219784,0.08447326035895217,0.05110329722232997,0.009229877868668435,0.8148256541894119,0.12361883520209152,0.0026967376324643325,0.0009767357755715766
C:\Users\Fakhri\Downloads\klasifikasi_jenis_kain_glcm_knn\klasifikasi_jenis_kain_glcm_knn\dataset\Blended\blended_006.png,Blended,38.48543482327434,23.498312345694675,4.549152396870538,1.5636859669440135,0.2251227368777106,0.07258585245980394,0.04569545025796152,0.007428307259361237,0.7208868300103451,0.1704400682759195,0.002143253923017315,0.0006992052840363068
C:\Users\Fakhri\Downloads\klasifikasi_jenis_kain_glcm_knn\klasifikasi_jenis_kain_glcm_knn\dataset\Blended\blended_007.png,Blended,32.68637170978635,19.43002847050184,4.14788229517211,1.3939131869633226,0.24835151797772936,0.07642464897656591,0.05355534856464008,0.008791111962451924,0.7184436826346765,0.16720680685845749,0.0029454590094164616,0.000966168995443772
C:\Users\Fakhri\Downloads\klasifikasi_jenis_kain_glcm_knn\klasifikasi_jenis_kain_glcm_knn\dataset\Blended\blended_008.png,Blended,38.031372502106564,22.900596225590274,4.5032410173222175,1.5287121985690657,0.2297477245353083,0.07284548559543146,0.045484450720451854,0.007505508767058208,0.7386750509431842,0.15740241280035053,0.002125167919193601,0.0007050775306575906
C:\Users\Fakhri\Downloads\klasifikasi_jenis_kain_glcm_knn\klasifikasi_jenis_kain_glcm_knn\dataset\Blended\blended_009.png,Blended,33.479136580232634,20.11795968686037,4.182912593817252,1.4297504849018083,0.24871551018562532,0.07667564596117774,0.0505766902059206,0.008649552485707741,0.7735682869096426,0.13623054308277907,0.0026328163503886778,0.0008979374070925864
C:\Users\Fakhri\Downloads\klasifikasi_jenis_kain_glcm_knn\klasifikasi_jenis_kain_glcm_knn\dataset\Blended\blended_010.png,Blended,17.67927460287527,8.578130694088067,2.894777255991036,0.8109511217537695,0.3249699293516449,0.07276723348665516,0.07125703618998426,0.009607010117796088,0.7322171397234617,0.12991702522192405,0.005169859849984162,0.001400780658986962
